term,estimate,std.error,statistic,p.value,dropped
regionNon-OECD,2.0844265243996536,3.018772473288622,0.6904881182147853,0.49284461104229216,DNK
regionEast Asia,12.404011757719974,5.326554688455768,2.328711987995386,0.023647247144870924,DOM
regionNordic,-9.441668346546303,6.8205310683657245,-1.3843010539659681,0.17196059411438674,DOM
regionNon-OECD,2.0968970238918674,3.0270919828174923,0.692710045084313,0.4914599671707066,DOM
regionEast Asia,12.025774778107426,5.297279129091195,2.270179555399524,0.02721104387116081,ESP
regionNordic,-9.792208580656418,6.7715205273598,-1.4460871145692853,0.15393222328672881,ESP
regionNon-OECD,1.6621041329400714,3.0237277041176838,0.5496871066388134,0.5848003606411867,ESP
regionEast Asia,11.752226447943919,5.140344358663209,2.28627220823007,0.026186547410382066,EST
regionNordic,-10.26996669185418,6.581373310333912,-1.560459528367511,0.12449337802537024,EST
regionNon-OECD,1.3632862545035511,2.929937460197778,0.46529534265606,0.6435910267883966,EST
regionEast Asia,12.46567153054724,5.320182202471276,2.3430910927743818,0.022838085218632044,FIN
regionNordic,-7.100915164984039,9.204010816567177,-0.7715022620575831,0.4437723396918857,FIN
regionNon-OECD,2.0844265243996523,3.0187724732886205,0.6904881182147851,0.4928446110422924,FIN
regionEast Asia,12.467817944403183,5.329951968006142,2.3391989307301793,0.02305463402402597,FRA
regionNordic,-9.383065038158303,6.83952169126863,-1.3718890679353755,0.1757708973459103,FRA
regionNon-OECD,2.1000761982948855,3.0322882600038974,0.6925714240281978,0.4915462891673229,FRA
regionEast Asia,12.65722854903157,5.285786110512806,2.394578267905664,0.02013973506049235,GBR
regionNordic,-8.983008810264367,6.781365632584596,-1.3246607389964098,0.19086249561865037,GBR
regionNon-OECD,2.315552742167938,3.007683477696196,0.7698791310120134,0.44472652820490277,GBR
regionEast Asia,12.405808788862535,5.286652911862616,2.3466281966469533,0.02264286808352436,GEO
regionNordic,-9.443203273734566,6.770699510359908,-1.3947160495433946,0.1688126309860196,GEO
regionNon-OECD,1.7679138916655546,3.0164481483958534,0.5860912585570983,0.5602560901103111,GEO
regionEast Asia,13.250462707439487,5.319517306783888,2.490914484015571,0.015847576601685596,GRC
regionNordic,-9.39185772848176,6.746657650163451,-1.3920756344075387,0.16960646780652855,GRC
regionNon-OECD,2.7847860493428964,3.0601727910524485,0.9100094143328287,0.36686166090687167,GRC
regionEast Asia,12.195364978920516,5.327458559487289,2.289152481008541,0.026006841233626978,HRV
regionNordic,-9.263453508785267,6.811294224659105,-1.36001370712317,0.1794767356227419,HRV
regionNon-OECD,1.7040849169564158,3.0777885309672497,0.5536718653054689,0.5820888727104077,HRV
regionEast Asia,12.369151211536693,5.327911635696719,2.3215758926375676,0.0240582354284668,HUN
regionNordic,-9.603743423045502,6.835848855344764,-1.4049086845354395,0.16577509473245852,HUN
regionNon-OECD,1.9863113672129664,3.0314982455310338,0.6552243169334311,0.515105029066222,HUN
regionEast Asia,12.430240499320277,5.327416137711864,2.3332587839963805,0.023388660920644875,IDN
regionNordic,-9.46407152456739,6.82239934444757,-1.387205739029298,0.1710781373589995,IDN
regionNon-OECD,2.050946475683562,3.0448336868659407,0.6735824306366662,0.5034498118688071,IDN
regionEast Asia,12.449394467539989,5.385910479867896,2.3114744506197855,0.02465088933360281,ITA
regionNordic,-9.465040490598515,6.822009572720353,-1.3874270315373103,0.17101105083383247,ITA
regionNon-OECD,2.0737886039219693,3.1025438404619594,0.6684155681787847,0.5067156165911931,ITA
regionEast Asia,12.438890309549894,5.325286971456096,2.3358159618858476,0.023244339689859252,JAM
regionNordic,-9.471459726463477,6.820135443436522,-1.3887495057856225,0.17061055468154496,JAM
regionNon-OECD,2.011398672142329,3.0333343001579154,0.6630982519920787,0.5100884343597893,JAM
regionEast Asia,12.569209953740913,5.277923609920498,2.381468714347354,0.02079820069399216,JOR
regionNordic,-9.582771745657896,6.758355966706792,-1.4179146219679493,0.16196074453669188,JOR
regionNon-OECD,2.467897623809906,3.0203324784998857,0.817094687878747,0.4174647695041457,JOR
regionEast Asia,12.363912563222069,5.30754252054742,2.3294985420007253,0.023602332517694648,KHM
regionNordic,-9.40741777492035,6.7967520681538875,-1.3841048901869926,0.17202031555930317,KHM
regionNon-OECD,2.1982016899318233,3.0185116833798915,0.7282402456930199,0.46961282762004,KHM
regionEast Asia,15.361920615763838,5.55791212629439,2.763973281097203,0.007794297222437862,KOR
