adj_model,term,M2_estimate,M2_se,M3_estimate,M3_se,attenuation_pct,spec
slope_p50 ~ hwk_mean + region + exam_pressure_z + stratification_z + ,regionEast Asia,8.041018082766941,4.189498774032708,5.879068169282979,4.412710510441966,26.886519732088804,z-score composites (M3z)
    resource_z,regionEast Asia,8.041018082766941,4.189498774032708,5.879068169282979,4.412710510441966,26.886519732088804,z-score composites (M3z)
slope_p50 ~ hwk_mean + region + exam_pressure_z + stratification_z + ,regionNordic,-16.09692779232706,4.759709821388213,-15.614409705463547,4.789952874174144,2.9975787497382993,z-score composites (M3z)
    resource_z,regionNordic,-16.09692779232706,4.759709821388213,-15.614409705463547,4.789952874174144,2.9975787497382993,z-score composites (M3z)
slope_p50 ~ hwk_mean + region + exam_pressure_z + stratification_z + ,regionNon-OECD,1.5351204224739468,2.5038469381135546,1.78252136006694,2.6934747971436566,-16.116060601570954,z-score composites (M3z)
    resource_z,regionNon-OECD,1.5351204224739468,2.5038469381135546,1.78252136006694,2.6934747971436566,-16.116060601570954,z-score composites (M3z)
slope_p50 ~ hwk_mean + region + pc1_org + pc2_org,regionEast Asia,8.041018082766941,4.189498774032708,5.4765575720591775,4.452812728326444,31.892236583869543,PCA components (M3pc)
slope_p50 ~ hwk_mean + region + pc1_org + pc2_org,regionNordic,-16.09692779232706,4.759709821388213,-16.377724936678913,4.716803707959624,-1.744414511728747,PCA components (M3pc)
slope_p50 ~ hwk_mean + region + pc1_org + pc2_org,regionNon-OECD,1.5351204224739468,2.5038469381135546,1.5368218961633646,2.4771884299661413,-0.11083649624541045,PCA components (M3pc)
