quantile,hwk_at,slope_mean,between,M,country
p25,1,27.835430325844868,1.7388071013053945,10,ALB
p50,2,20.9685537238268,0.6856971181596603,10,ALB
p75,3,1.8520301662520637,0.9787826270816885,10,ALB
p25,1,11.92477200665445,0.2637693504344539,10,ARE
p50,2,6.7639054367379,0.10019118601230383,10,ARE
p75,3,-7.678667066604419,0.2853626083052383,10,ARE
p25,1,5.368827056172222,1.2181158227800222,10,ARG
p50,2,2.605093497983489,0.398036306293738,10,ARG
p75,3,-5.061519932363865,1.082685511837463,10,ARG
p25,1,31.46754961063516,1.5047797794304618,10,AUS
p50,1,31.46754961063516,1.5047797794304618,10,AUS
p75,2,21.058218661665705,0.32985417844463755,10,AUS
p25,1,-10.958727843344093,0.23419680642400806,10,AUT
p50,1,-10.958727843344093,0.23419680642400806,10,AUT
p75,2,-11.016370448833982,0.21424238004806317,10,AUT
p25,1,10.959779584490661,0.7556390859653095,10,BEL
p50,1,10.959779584490661,0.7556390859653095,10,BEL
p75,2,4.861249714354244,0.1494828103976037,10,BEL
p25,1,16.71389778115997,0.7581405238604638,10,BGR
p50,2,12.060043848986254,0.3541743389366908,10,BGR
p75,3,-1.0994051306827828,0.2009011123843112,10,BGR
p25,1,12.499479060861688,1.0087801341434757,10,BRA
p50,2,8.517472286426084,0.536978674954088,10,BRA
p75,3,-2.669640146493464,0.9861948583136503,10,BRA
p25,1,15.607407620107494,0.7948141633845581,10,BRN
p50,2,14.192676104318366,0.1695863412735249,10,BRN
p75,3,9.64618157255677,1.338498704699948,10,BRN
p25,1,8.35363637182536,1.4282315777228807,10,CAN
p50,1,8.35363637182536,1.4282315777228807,10,CAN
p75,2,3.749525722696035,0.5405814153660614,10,CAN
p25,1,-14.440780916351855,0.46471474062492857,10,CHE
p50,1,-14.440780916351855,0.46471474062492857,10,CHE
p75,1,-14.440780916351855,0.46471474062492857,10,CHE
p25,1,6.977667524533331,0.4297553073768711,10,CHL
p50,2,4.039121201705598,0.17679186869096422,10,CHL
p75,3,-4.271397723609937,1.1106888913811443,10,CHL
p25,1,11.32894896764833,0.45831030890391394,10,COL
p50,2,10.13071602057164,0.10175382584803322,10,COL
p75,3,6.2135457882975516,1.6046570062535535,10,COL
p25,1,-13.761398049200864,0.9492439277282962,10,CZE
p50,1,-13.761398049200864,0.9492439277282962,10,CZE
p75,2,-14.271098333236694,0.2901784967450734,10,CZE
