term,M2_estimate,M3b_estimate,attenuation_pct
regionEast Asia,8.340776181880605,10.573424239432972,-26.767869187073302
regionNordic,-16.349802978179497,-21.112892374144874,-29.132396288335784
regionNon-OECD,2.146966785071716,2.035006410975369,5.214816310845126
