model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
M2,(Intercept),-7.1160332291473125,7.375551825361077,-0.964813670575617,0.33821408626498717,-21.846027374885757,7.613960916591134
M2,hwk_mean,6.829065911177814,3.994616507719078,1.7095673384370014,0.09211631668856163,-1.1487341458764364,14.806865968232064
M2,regionEast Asia,8.340776181880605,4.356023460743223,1.9147684251584598,0.05992480464100049,-0.35880340141461353,17.040355765175825
M2,regionNordic,-16.349802978179497,4.940072225293414,-3.309628327794014,0.0015265621438846071,-26.215808489507417,-6.483797466851577
M2,regionNon-OECD,2.146966785071716,2.6935016156929676,0.7970913299487135,0.42830007010864957,-3.23232739794382,7.526260968087252
M3a,(Intercept),-67.21273258809286,31.086443307000934,-2.1621235959456313,0.03441365541627773,-129.3340325712454,-5.091432604940337
M3a,hwk_mean,9.818368590569767,4.602022048960059,2.133490123713873,0.03678533308480126,0.6219613525585075,19.014775828581026
M3a,tracking_age,0.8967379561313067,1.0545856859121383,0.8503225182273311,0.3983659692592936,-1.210683375588964,3.0041592878515777
M3a,central_exit_exam,6.097094384480168,2.8500703422660187,2.1392785623784016,0.03629469862756142,0.40168327049401586,11.79250549846632
M3a,confucian_heritage,5.197772624936014,4.171999610345559,1.2458708318300853,0.217425184105935,-3.139303339798256,13.534848589670283
M3a,vocational_share_pct,0.056258883540184386,0.09284096914214056,0.6059704466683389,0.5467115342362521,-0.1292689891034722,0.24178675618384096
M3a,instr_hrs_per_wk,1.2827501249347,0.9434211899577485,1.3596791534777255,0.17877804828390428,-0.6025266876310307,3.1680269375004304
M3b,(Intercept),-32.3761766550592,30.869549348332765,-1.0488062617865137,0.2984050222433335,-94.10365559015054,29.351302280032137
M3b,hwk_mean,9.511414859351198,4.589343855284688,2.072499938830838,0.042452105830438694,0.33445464667233615,18.688375072030063
M3b,regionEast Asia,10.573424239432972,4.595454640597198,2.300844000509798,0.02483294028111969,1.3842447563203777,19.762603722545567
M3b,regionNordic,-21.112892374144874,6.185790642480087,-3.413127536058999,0.0011460695211939565,-33.48214523468905,-8.743639513600698
M3b,regionNon-OECD,2.035006410975369,2.606911967874429,0.7806195360845389,0.43804514861852284,-3.1778362439919072,7.2478490659426456
M3b,tracking_age,2.1494681310409174,1.0469468234029295,2.053082432643926,0.04435997840447659,0.05596857072888861,4.242967691352947
M3b,central_exit_exam,4.428817295541314,2.697178573335395,1.6420185668554135,0.10573221419533843,-0.9645245926431425,9.82215918372577
M3b,confucian_heritage,NA,NA,NA,NA,NA,NA
M3b,vocational_share_pct,0.1089622072309903,0.0876693506245534,1.2428768600970275,0.21866951800250387,-0.06634349395905746,0.28426790842103805
M3b,instr_hrs_per_wk,-0.6964795201007592,1.049355907366466,-0.6637209694170312,0.5093697533279429,-2.794796341524508,1.40183730132299
M4,(Intercept),-19.112051978037695,6.5626514176404545,-2.9122454876491477,0.004870263897869532,-32.211159032203994,-6.012944923871393
M4,hwk_mean,12.98336657890691,3.307446146047035,3.9254959886268317,2.068043713644097e-4,6.381676440908258,19.585056716905562
M4,confucian_heritage,6.388801552301587,4.145577785867127,1.5411124533911613,0.12799950577186003,-1.8858063405508911,14.663409445154064
M5,(Intercept),-7.1160332291473125,7.375551825361077,-0.964813670575617,0.33821408626498717,-21.846027374885757,7.613960916591134
M5,hwk_mean,6.829065911177814,3.994616507719078,1.7095673384370014,0.09211631668856163,-1.1487341458764364,14.806865968232064
M5,regionEast Asia,8.340776181880605,4.356023460743223,1.9147684251584598,0.05992480464100049,-0.35880340141461353,17.040355765175825
M5,regionNordic,-16.349802978179497,4.940072225293414,-3.309628327794014,0.0015265621438846071,-26.215808489507417,-6.483797466851577
M5,regionNon-OECD,2.146966785071716,2.6935016156929676,0.7970913299487135,0.42830007010864957,-3.23232739794382,7.526260968087252
M5,confucian_heritage,NA,NA,NA,NA,NA,NA
