variable,PC1,PC2,PC3
abgmath_mean,0.0063543064050247105,0.3736395998148454,0.6307933028486606
stubeha_mean,-0.3897816827854024,-0.3343005365961946,-0.051443346465639195
mactiv_mean,0.3399398917459592,-0.08507997086909008,0.5714410351491123
edushort_mean,-0.42740676709597136,-0.21766998077260935,0.4213434155815057
stratio_mean,-0.537796422332008,0.2600388773118001,0.20075426383872197
private_share,0.12016299816449058,0.7352738477238437,-0.153302111514652
escs_btw_var,-0.4961149564308854,0.29286503691778754,-0.17769200554678247
