country,region,hwk_mean,slope_p25,slope_p50,slope_p75,concavity,fragility,base_slope,pct_change,slope_p50_pisa_pts
DOM,Non-OECD,2.319061468482985,10.530695266179578,8.553575007638244,2.8527657744858175,7.67792949169376,robust,1.910831326661039,16.830063785512372,8.553575007638244
ESP,OECD (other),1.8288718613497408,0.6743757640579133,-4.019716386549987,-4.019716386549987,4.694092150607901,robust,-8.11266914567447,16.914946817462344,-4.019716386549987
EST,OECD (other),1.7626099144226757,-13.370443705198229,-13.370443705198229,-13.944303030637514,0.573859325439285,robust,-12.616691605713514,19.768291922526057,-13.370443705198229
FIN,Nordic,1.2847515491380772,-11.846229041238985,-11.846229041238985,-11.846229041238985,0,robust,-14.173707783867007,0.6307190535517583,-11.846229041238985
FRA,OECD (other),1.6591948075720755,4.381543678986986,4.381543678986986,-1.6643195979575012,6.045863276944488,robust,-6.4464641058068795,27.494914044438477,4.381543678986986
GBR,OECD (other),1.6697859106769315,11.409624901851204,11.409624901851204,6.859633531713598,4.549991370137606,flip,0.5073913127295087,322.83253496329513,11.409624901851204
GEO,Non-OECD,2.1750121523352903,21.075678202187305,16.98206374490985,5.202858460298955,15.87281974188835,robust,5.178356581547568,2.425934247433652,16.98206374490985
GRC,OECD (other),2.0976177773775357,24.756620755776396,15.82287255609333,-8.481264309443077,33.23788506521947,robust,4.311171356533858,33.090804507307695,15.82287255609333
GTM,Non-OECD,2.4304444134531966,19.163483032077806,14.1025621320112,0.01254383811942716,19.15093919395838,robust,1.6515329715688143,12.787009434060224,14.1025621320112
HKG,East Asia,2.168914664953165,21.09493990197609,13.009548855442176,-9.502062026707108,30.5970019286832,shrink,-1.003507327498533,309.17509810690945,13.009548855442176
HRV,Non-OECD,1.849605300005941,17.370721103543872,11.38963578630387,11.38963578630387,5.981085317240002,robust,3.38079880334047,29.87385314736557,11.38963578630387
HUN,OECD (other),1.6666886211272955,0.6740516506251879,0.6740516506251879,-6.418931009260973,7.092982659886161,robust,-10.52006426280764,17.390041104704558,0.6740516506251879
IDN,Non-OECD,2.1220405476236546,7.946067837824785,8.900114163131093,10.775510625350876,-2.829442787526091,robust,3.12874936165824,24.924564377132867,8.900114163131093
IRL,OECD (other),1.4825915953918989,8.098287498284321,8.098287498284321,2.5165610097461126,5.581726488538209,shrink,-1.345141935476626,164.5443781674523,8.098287498284321
ISL,Nordic,1.549673632365154,-7.097620606972498,-7.097620606972498,-6.140943653912018,-0.9566769530604802,robust,-5.512626497692962,0.26747593471919773,-7.097620606972498
ISR,OECD (other),2.084157217899844,9.829397318063002,8.100450886453075,2.9635834668434313,6.8658138512195706,robust,2.553192572283854,26.434034515684633,8.100450886453075
ITA,OECD (other),2.134724514419104,12.138455374678983,6.948545776254832,-7.36841958367927,19.506874958358253,robust,-0.8106524800354372,12.496155261031358,6.948545776254832
JAM,Non-OECD,2.232627723331449,16.25257131812367,11.118882483916366,-3.36913419510131,19.62170551322498,robust,-2.8624359441976317,0.7581980729324996,11.118882483916366
JOR,Non-OECD,2.084916711686655,0.9637717813307064,-0.3510327499241157,-3.963697765673317,4.927469547004024,robust,-2.6586201743524964,23.636870129469635,-0.3510327499241157
KAZ,Non-OECD,1.9329348074541597,13.161927345355082,8.533505112121588,-4.371399050890773,17.533326396245855,robust,1.1409642866131549,33.85371565856303,8.533505112121588
KHM,Non-OECD,2.290104860018195,7.181040571263907,4.494874646425615,-2.945644724829606,10.126685296093513,robust,-0.6605581274750499,19.28533622492841,4.494874646425615
KOR,East Asia,2.8306867358374466,31.647813873581526,13.76158776921477,2.9297109788800526,28.71810289470147,robust,17.35586798902616,8.872926426888405,13.76158776921477
KSV,Non-OECD,2.0089491018760146,17.460474985056976,12.544383612369757,-1.2761077618815193,18.736582746938495,shrink,1.4535882094565522,65.13183722872512,12.544383612369757
LTU,OECD (other),1.995000935605318,1.331408325125949,-1.4434991220311415,-9.08312151551985,10.414529840645798,robust,-5.020797272795757,26.44766606740427,-1.4434991220311415
LVA,OECD (other),1.7695900563636002,-0.5082259237323683,-0.5082259237323683,-3.823641418160719,3.3154154944283505,robust,-7.596013761131509,6.428183703474314,-0.5082259237323683
MAC,East Asia,2.1435891530412836,10.376228039747616,4.48547272173505,-11.602280316167366,21.978508355914983,robust,-3.3640166510334386,43.590137693303426,4.48547272173505
