country,n_levels,sign_changes,sign_flipped,max_abs_chg,base_slope,base_t,pct_change,fragility,region,hwk_mean,slope_p50
TUR,7,0,FALSE,0.5949772155482158,6.093667523110329,7.585220135698494,9.76386081603165,robust,OECD (other),1.985780510800239,17.927651452526334
USA,7,0,FALSE,0.8604489291437067,-3.177573981609817,-2.338353522623428,27.07880081230359,robust,OECD (other),1.6352099305192875,3.8349719328900846
UZB,7,0,FALSE,0.12939583380986153,-0.9672252033443086,-1.8913516426968993,13.378046122294828,robust,Non-OECD,2.2235427649990847,5.32675818860173
VNM,7,0,FALSE,2.335555512428595,11.832478549035814,13.794228116726075,19.73851465480925,robust,East Asia,2.221502588308096,23.458920450950018
BEL,7,0,FALSE,1.890061143448266,-1.0915922374261515,-1.2719169913072026,173.14717699942716,shrink,OECD (other),1.7900176269766177,10.95977958449066
BGR,7,0,FALSE,1.0644751034825972,1.7005778105396436,1.7748264932897178,62.59490726536105,shrink,Non-OECD,1.9631752563199816,12.060043848986254
BRA,7,0,FALSE,0.39256648067038524,0.44841730965198817,0.7708937539136185,87.54489896365773,shrink,Non-OECD,2.007791880195702,8.517472286426084
CAN,7,0,FALSE,1.406892293969853,-2.7025451622410204,-5.109091184992772,52.05804933906161,shrink,OECD (other),1.8887408162888757,8.35363637182536
HKG,7,0,FALSE,3.102594764303615,-1.003507327498533,-0.8584863873076617,309.17509810690945,shrink,East Asia,2.168914664953165,13.009548855442176
IRL,7,0,FALSE,2.213355433199647,-1.345141935476626,-1.095983012977393,164.5443781674523,shrink,OECD (other),1.4825915953918989,8.098287498284321
KSV,7,0,FALSE,0.9467487065591815,1.4535882094565522,2.307540216129667,65.13183722872512,shrink,Non-OECD,2.0089491018760146,12.544383612369757
PAN,7,0,FALSE,0.8502388170476987,1.2987313105690572,1.939703365517667,65.4668760295888,shrink,Non-OECD,2.430084404667868,5.976636558925463
PRT,7,0,FALSE,1.6930927032896683,-0.2560791932757106,-0.29589144762650327,661.1598082733651,shrink,OECD (other),1.7754893120686892,10.638600116362454
SGP,7,0,FALSE,3.4983156335709533,5.955377674132837,5.991820272163207,58.742128962968636,shrink,East Asia,2.397777620497072,14.009233885191406
SRB,7,0,FALSE,0.3122002451767571,-0.5204148171670987,-0.524321985176027,59.990652625194855,shrink,Non-OECD,1.6670594788675626,6.641317935093923
URY,7,0,FALSE,1.829223574854685,-2.6195709039361517,-3.5254336033228113,69.82913011081718,shrink,Non-OECD,1.988215895770956,1.241793394007118
