model,n,df_used,r2,adj_r2,aic,rmse
M0,70,1,0,0,533.3216331771162,10.611414646846384
M1,70,2,0.22237611928391546,0.21094047397926718,517.7157710914132,9.357462164446012
M2,70,5,0.3639707916779806,0.32483053270431794,509.64587776078196,8.462755919465668
M3a,70,7,0.357701795116347,0.29653053750838,514.3324519087782,8.504360061793296
M3b,70,10,0.4623668613460173,0.39185759726024905,505.8811136889117,7.780657531900941
M4,70,3,0.24899777607460455,0.22657979924101057,517.2773665615326,9.195892732356269
M5,70,6,0.3639707916779806,0.32483053270431794,509.64587776078196,8.462755919465668
M6,70,6,0.31129544285628863,0.2574903993294362,517.2156302169869,8.806224715735931
