country,input,layer,slope,region
BRA,MATHEFF,L2,0.18439006676086822,Non-OECD
BRA,MATHMOT,L0,0.06496805602372924,Non-OECD
BRA,MATHMOT,L1,0.08176373570645115,Non-OECD
BRA,MATHMOT,L2,0.10719629248973932,Non-OECD
BRN,hwk_h,L0,0.08377466049042022,Non-OECD
BRN,hwk_h,L1,0.05994941882868409,Non-OECD
BRN,hwk_h,L2,0.054652918303165335,Non-OECD
BRN,SDLEFF,L0,0.17108757637566516,Non-OECD
BRN,SDLEFF,L1,0.1036670970283304,Non-OECD
BRN,SDLEFF,L2,0.1130699225342397,Non-OECD
BRN,MATHEFF,L0,0.48542059929179826,Non-OECD
BRN,MATHEFF,L1,0.394395205990118,Non-OECD
BRN,MATHEFF,L2,0.41495375307449467,Non-OECD
BRN,MATHMOT,L0,-0.34617944866862604,Non-OECD
BRN,MATHMOT,L1,-0.1995440196200926,Non-OECD
BRN,MATHMOT,L2,-0.19983020954838698,Non-OECD
CAN,hwk_h,L0,-0.02043753632848968,OECD (other)
CAN,hwk_h,L1,-0.02884057001910835,OECD (other)
CAN,hwk_h,L2,-0.04241350000902555,OECD (other)
CAN,SDLEFF,L0,0.16461390421732774,OECD (other)
CAN,SDLEFF,L1,0.10921954826997485,OECD (other)
CAN,SDLEFF,L2,0.11070958371720825,OECD (other)
CAN,MATHEFF,L0,0.41461911213257424,OECD (other)
CAN,MATHEFF,L1,0.36453745104300583,OECD (other)
CAN,MATHEFF,L2,0.3791757283268835,OECD (other)
CAN,MATHMOT,L0,0.08079291077497916,OECD (other)
CAN,MATHMOT,L1,0.07516123390438398,OECD (other)
CAN,MATHMOT,L2,0.12890727004001096,OECD (other)
CHE,hwk_h,L0,-0.2195255490035068,OECD (other)
CHE,hwk_h,L1,-0.17104165652694336,OECD (other)
CHE,hwk_h,L2,-0.17524161296102256,OECD (other)
CHE,SDLEFF,L0,0.19912390688893614,OECD (other)
CHE,SDLEFF,L1,0.12443879202161959,OECD (other)
CHE,SDLEFF,L2,0.12561262027225661,OECD (other)
CHE,MATHEFF,L0,0.44569421004541504,OECD (other)
CHE,MATHEFF,L1,0.3477666223635608,OECD (other)
CHE,MATHEFF,L2,0.35652322100899275,OECD (other)
CHE,MATHMOT,L0,0.20192251581634257,OECD (other)
CHE,MATHMOT,L1,0.17819841546077536,OECD (other)
CHE,MATHMOT,L2,0.21862267232194893,OECD (other)
CHL,hwk_h,L0,-0.017736038109109165,OECD (other)
CHL,hwk_h,L1,-0.0274300702709424,OECD (other)
CHL,hwk_h,L2,-0.040222481235842565,OECD (other)
CHL,SDLEFF,L0,0.09913337926653762,OECD (other)
CHL,SDLEFF,L1,0.049955516517152146,OECD (other)
CHL,SDLEFF,L2,0.05371269863752119,OECD (other)
CHL,MATHEFF,L0,0.1868039380751787,OECD (other)
