model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
M1,(Intercept),-19.151648758769515,6.782752378929849,-2.823580707186479,0.0064978655877105254,-32.72880278630108,-5.574494731237946
M1,hwk_mean,13.152605784954247,3.3138739504196844,3.9689517409944153,2.0133109513939873e-4,6.519166358145723,19.78604521176277
M2,(Intercept),-10.199228816134937,8.021866822052559,-1.2714283398593316,0.20892686956075246,-26.275409173109644,5.8769515408397695
M2,hwk_mean,7.94606484074427,4.365268661103829,1.8202922792694687,0.07415725130192102,-0.8021290471964502,16.694258728684993
M2,regionEast Asia,12.432127973276593,5.27799843116907,2.3554626124666904,0.022093379091995855,1.854782751083924,23.009473195469262
M2,regionNordic,-9.465683703134639,6.7596721804904405,-1.40031697549686,0.1670346784283714,-23.01236947319127,4.081002066921991
M2,regionNon-OECD,2.0585791258207555,2.9944923154311143,0.6874551372907376,0.49468483734014623,-3.9425175775184034,8.059675829159914
M3,(Intercept),-11.724996057639213,9.292249290589135,-1.261803863733389,0.21265002020802784,-30.37125840843664,6.921266293158212
M3,hwk_mean,8.783319171772739,4.932956102208932,1.7805386850776252,0.08083015147595973,-1.1153814302343719,18.68201977377985
M3,regionEast Asia,11.254469444179312,5.487435564604364,2.0509524552368465,0.04532589697189758,0.24312440048408668,22.265814487874536
M3,regionNordic,-8.318087142825846,6.8394920514812085,-1.2161849272161114,0.22940649269784588,-22.04253201617542,5.40635773052373
M3,regionNon-OECD,1.9364036309315604,3.111186937932405,0.6224002830953103,0.5363985477297946,-4.306649698020156,8.179456959883277
M3,exam_pressure_z,0.4922286001373161,0.6423823345748271,0.7662548822472008,0.4469892755524101,-0.7968058591653289,1.7812630594399612
M3,stratification_z,1.1426065028313361,0.9873683167420609,1.1572241922867263,0.252469014268742,-0.838692975378257,3.123905981040929
M3,resource_z,0.747985999121392,0.8696805804620401,0.8600697956530261,0.39369862808008727,-0.9971557590869551,2.493127757329739
M4,(Intercept),-21.592717464711136,8.305963177968804,-2.5996644822583432,0.011958079514112268,-38.238239641711246,-4.947195287711022
M4,hwk_mean,14.41067087601472,4.090086468856879,3.5233169239187987,8.661620022792718e-4,6.213954424900569,22.60738732712887
M4,exam_pressure_z,0.6137272993124221,0.6358929568368563,0.9651424704643788,0.3386981367677976,-0.6606306635667896,1.8880852621916338
M4,stratification_z,1.1249477953002889,0.999538079207442,1.125467672219439,0.2652782842786484,-0.8781712780342379,3.1280668686348156
M4,resource_z,1.133803407117858,0.8372661641494878,1.3541732075959367,0.18121902841154652,-0.5441154813704365,2.8117222956061525
