country,input,slope,se,n,region
BRA,ST297Q03JA,-0.16868625765463224,0.018132786181050888,9421,Non-OECD
BRA,ST297Q05JA,0.12802013520361005,0.01591837887470049,9421,Non-OECD
BRA,ST297Q06JA,-0.015652855908526477,0.016695198580933795,9421,Non-OECD
BRA,ST297Q07JA,-0.21620214397449278,0.01972970478027603,9421,Non-OECD
BRN,hwk_h,0.05994941882868409,0.00834918147895223,5209,Non-OECD
BRN,study_h,0.004485477616018623,0.003426937135996573,5473,Non-OECD
BRN,EXERPRAC,-0.05327229936611231,0.0029970018496244142,5464,Non-OECD
BRN,ST297Q01JA,-0.35216063680327514,0.023370398205673427,5043,Non-OECD
BRN,ST297Q03JA,-0.12155414555380996,0.024118714755989236,5043,Non-OECD
BRN,ST297Q05JA,0.039548606563969566,0.02521177916864001,5043,Non-OECD
BRN,ST297Q06JA,-0.1897325932899381,0.02149967903886601,5043,Non-OECD
BRN,ST297Q07JA,-0.19486814624045837,0.026192544099931738,5043,Non-OECD
CAN,hwk_h,-0.02884057001910835,0.005644951122388232,18395,OECD (other)
CAN,study_h,-0.009096746433750373,0.002100582651388771,19866,OECD (other)
CAN,EXERPRAC,-0.058096430438707096,0.00185416788730561,19849,OECD (other)
CAN,ST297Q01JA,-0.42117162791905927,0.016207926369240205,19961,OECD (other)
CAN,ST297Q03JA,-0.1950824570527983,0.01667287826436164,19961,OECD (other)
CAN,ST297Q05JA,-0.1271501590064635,0.015719363644797587,19961,OECD (other)
CAN,ST297Q06JA,-0.142748004678685,0.015125187992888067,19961,OECD (other)
CAN,ST297Q07JA,-0.4058119402951904,0.023058257936174956,19961,OECD (other)
CHE,hwk_h,-0.17104165652694336,0.014962304937179479,5652,OECD (other)
CHE,study_h,-0.008901594622146791,0.003854489169179718,6439,OECD (other)
CHE,EXERPRAC,-0.045212115705164216,0.0033867034343108213,6442,OECD (other)
CHE,ST297Q01JA,-0.39020234764256745,0.030854591069611404,5984,OECD (other)
CHE,ST297Q03JA,-0.38909541106684914,0.039064037568428266,5984,OECD (other)
CHE,ST297Q05JA,-0.1237898166815068,0.03249232104500139,5984,OECD (other)
CHE,ST297Q06JA,-0.19989079396992454,0.03154031850644686,5984,OECD (other)
CHE,ST297Q07JA,-0.5405204912194849,0.05197555610822109,5984,OECD (other)
CHL,hwk_h,-0.0274300702709424,0.007486079434321722,5246,OECD (other)
CHL,study_h,-0.024011076782433163,0.002946790796426205,5622,OECD (other)
CHL,EXERPRAC,-0.03916510400854783,0.002642371874827826,5619,OECD (other)
CHL,ST297Q01JA,-0.33650960014835346,0.0226279381661678,5356,OECD (other)
CHL,ST297Q03JA,-0.2979298860392515,0.02434380854142729,5356,OECD (other)
CHL,ST297Q05JA,-0.23141695186007213,0.025568561295806154,5356,OECD (other)
CHL,ST297Q06JA,-0.19336231346294966,0.02220079862734439,5356,OECD (other)
CHL,ST297Q07JA,-0.3352027551440013,0.02933175860160096,5356,OECD (other)
COL,hwk_h,0.017716069342282665,0.005577877548831366,6890,OECD (other)
COL,study_h,-0.014030342991559322,0.0025675985656399133,7222,OECD (other)
COL,EXERPRAC,-0.027373766920089904,0.0020155969273836826,7197,OECD (other)
COL,ST297Q01JA,-0.26725818527385753,0.016139562958935517,7283,OECD (other)
COL,ST297Q03JA,-0.14619153654952208,0.017623664105617668,7283,OECD (other)
COL,ST297Q05JA,-0.11993633199269978,0.017336256629880465,7283,OECD (other)
COL,ST297Q06JA,-0.14569025057223975,0.016528443120414647,7283,OECD (other)
COL,ST297Q07JA,-0.32021256098985323,0.019732480785331945,7283,OECD (other)
CZE,hwk_h,-0.15090975271124732,0.009672566284275822,7785,OECD (other)
CZE,study_h,-0.01326615310137483,0.0032413129773776403,8135,OECD (other)
CZE,EXERPRAC,-0.0462275969174772,0.002780772005569852,8131,OECD (other)
CZE,ST297Q01JA,-0.478034294042566,0.024222897103948073,7852,OECD (other)
CZE,ST297Q03JA,-0.3426451838622792,0.0226910664905052,7852,OECD (other)
CZE,ST297Q05JA,-0.2838963547713256,0.025032639764452195,7852,OECD (other)
CZE,ST297Q06JA,-0.37386631052478053,0.02724234265197699,7852,OECD (other)
CZE,ST297Q07JA,-0.3206515792516789,0.027453019199728056,7852,OECD (other)
DEU,hwk_h,-0.14502592594145816,0.013077952601196567,4921,OECD (other)
DEU,study_h,-0.018687559082589157,0.0041438388385427365,5179,OECD (other)
DEU,EXERPRAC,-0.045486144023173476,0.003607477990574854,5172,OECD (other)
DEU,ST297Q01JA,-0.4350973947928929,0.029933813411907883,4966,OECD (other)
DEU,ST297Q03JA,-0.33134012714625993,0.03630055514412701,4966,OECD (other)
DEU,ST297Q05JA,-0.10220795654902061,0.028465227979542092,4966,OECD (other)
DEU,ST297Q06JA,-0.22886085522613436,0.03273976721764064,4966,OECD (other)
DEU,ST297Q07JA,-0.5823311610957219,0.05634341158495387,4966,OECD (other)
DNK,hwk_h,-0.13858861419858667,0.013504141162991248,5333,Nordic
DNK,study_h,-0.039961733578359214,0.003950185660446179,5647,Nordic
DNK,EXERPRAC,-0.04380183978293164,0.003409702144361467,5645,Nordic
DNK,ST297Q01JA,-0.6855836339537156,0.039252101805776686,5093,Nordic
DNK,ST297Q03JA,-0.4662744397059162,0.036964546242019905,5093,Nordic
DNK,ST297Q05JA,-0.49224476893593966,0.05217373669376565,5093,Nordic
DNK,ST297Q06JA,-0.5587990629278942,0.038981243793582906,5093,Nordic
DNK,ST297Q07JA,-0.5676246951770109,0.050982796525092224,5093,Nordic
DOM,hwk_h,0.020391690559419053,0.00494275536908309,4774,Non-OECD
DOM,study_h,0.017665814438230763,0.0019841911743550176,6045,Non-OECD
DOM,EXERPRAC,-0.013477205973635845,0.0015696958574711486,5931,Non-OECD
DOM,ST297Q01JA,-0.16998474243437434,0.013100181972426225,6406,Non-OECD
DOM,ST297Q03JA,-0.14416618695110642,0.014452409475091469,6406,Non-OECD
DOM,ST297Q05JA,-0.10858590656799744,0.014253825928935412,6406,Non-OECD
DOM,ST297Q06JA,-0.09695728920960797,0.013861719013165718,6406,Non-OECD
DOM,ST297Q07JA,-0.1620488114045906,0.014874455469307771,6406,Non-OECD
ESP,hwk_h,-0.0865754274180835,0.004294238590445399,28586,OECD (other)
ESP,study_h,-0.027239038784451736,0.0014835478516498782,29464,OECD (other)
ESP,EXERPRAC,-0.035941356519992404,0.0013481804185543577,29469,OECD (other)
ESP,ST297Q01JA,-0.3637741839959747,0.010966902307150255,29117,OECD (other)
ESP,ST297Q03JA,-0.36546055339618155,0.015448345367115136,29117,OECD (other)
ESP,ST297Q05JA,-0.12307306104425256,0.01292681309570496,29117,OECD (other)
