country,slope_p25,slope_p50,slope_p75,slope_mid,concavity,n_stud,n_school,pv_math_mean,hwk_mean,study_mean,escs_mean,east_asia,nordic,oecd,region
NZL,14.68835429509994,14.68835429509994,9.98874581579014,13.121818135330006,4.6996084793098,4682,169,479.0741934523778,1.4824864382255367,3.512481667364972,0.21906359919765703,0,0,1,OECD (other)
PAN,6.654496113756807,5.976636558925463,3.825681905885574,5.485604859522614,2.8288142078712326,4544,215,356.57350391859563,2.430084404667868,7.1767691331962835,-0.9467632798211756,0,0,0,Non-OECD
PER,11.311927173595793,11.311927173595793,4.723140165759446,9.115664837650344,6.588787007836347,6968,336,391.23578464022944,2.540551876515324,7.171192860547742,-1.1534973668700967,0,0,0,Non-OECD
PHL,9.589841509208156,8.719569907779146,5.924543185321966,8.077984867436422,3.6652983238861907,7193,188,354.7197127888579,2.515598305723145,6.4882555890022955,-1.3379003723399463,0,0,0,Non-OECD
POL,9.036300534420832,9.036300534420832,4.117549770562903,7.396716946468189,4.918750763857929,6011,240,488.9600537637015,1.815381395670944,4.92734579232336,-0.10514068515163943,0,0,1,OECD (other)
PRT,10.638600116362454,10.638600116362454,6.078933228251685,9.118711153658865,4.559666888110769,6793,224,471.9105221057486,1.7754893120686892,5.266423335082511,-0.22635525994346117,0,0,1,OECD (other)
PRY,15.964321990992971,9.645513623089414,-7.692613903579229,5.9724072368343855,23.6569358945722,5084,281,337.53975043615014,2.3684620817440836,6.562226224032013,-1.2449073955603194,0,0,0,Non-OECD
PSE,-2.0352596883564047,-2.0352596883564047,-3.0483903034403284,-2.3729698933843792,1.0131306150839237,7905,273,365.7466764424854,1.8270974280776553,7.068780929670047,-0.9119491977041476,0,0,0,Non-OECD
QAT,11.920802506539983,11.920802506539983,-2.7070797215660036,7.044841763837987,14.627882228105987,7676,229,414.1062217855216,1.977628505881774,6.037051565930499,0.10747423028135136,0,0,0,Non-OECD
QAZ,16.63265543661163,10.6548102455273,2.05233630158665,9.779933994575192,14.580319135024979,7720,199,396.8822928708398,2.7596532139073857,6.730170136081799,-0.5093424757669788,0,0,0,Non-OECD
QUR,17.10060294792885,13.831957370543762,4.364494920083928,11.765685079518846,12.73610802784492,3876,164,440.8453088892642,2.2212522073973653,7.510264046290243,-0.35106736893698254,0,0,0,Non-OECD
ROU,13.65358714762766,13.02506092543672,10.37086907797351,12.349839050345963,3.28271806965415,7364,262,427.7599966689727,2.074458692796566,5.620197085964165,-0.36212655566693946,0,0,0,Non-OECD
SAU,-3.8262874938725417,-3.8262874938725417,-5.815762839258241,-4.4894459423344415,1.9894753453856993,6928,193,388.781606995968,1.619281628799731,7.548039613476952,-0.2896089240150509,0,0,0,Non-OECD
SGP,14.009233885191406,14.009233885191406,4.553716729069379,10.85739483315073,9.455517156122028,6606,164,574.6638195932204,2.397777620497072,5.759513949645574,0.3064482318690433,1,0,0,East Asia
SLV,11.694188650241074,9.5876444699976,3.443603111778202,8.241812077338958,8.250585538462872,6705,290,343.46910097672264,2.390112409890079,7.094308635181003,-1.391598156704186,0,0,0,Non-OECD
SRB,6.641317935093923,6.641317935093923,4.849459130048899,6.044031666745582,1.791858805045024,6413,183,439.8766666814575,1.6670594788675626,6.085441467628004,-0.20239388689623117,0,0,0,Non-OECD
SVK,-0.2975719966740371,-0.2975719966740371,-3.27617964855051,-1.2904412139661947,2.978607651876473,5824,288,463.9946184782649,1.5714019999126323,5.070022585385956,-0.3029966638479775,0,0,1,OECD (other)
SVN,7.6920937351811745,7.6920937351811745,-0.5168338525539298,4.955784539269473,8.208927587735104,6721,345,484.52900864834976,1.7566753265793495,5.127291709536568,0.2258082638351057,0,0,1,OECD (other)
SWE,-30.24761312357458,-30.24761312357458,-21.66302225600407,-27.38608283438441,-8.584590867570512,6072,262,481.7660653970073,1.405039039241786,4.028415993195013,0.326591020590031,0,1,1,Nordic
TAP,47.82373936968304,31.487307223619723,31.487307223619723,36.932784605640826,16.336432146063316,5857,182,547.0941643886058,1.835818432046826,4.979530979756557,-0.18541301096194937,1,0,0,East Asia
THA,15.956198111724689,12.036857160903764,0.9904124831059562,9.661155918578137,14.965785628618733,8495,279,393.9453559167337,2.185574722430571,5.399248663978697,-1.2310386460231368,0,0,0,Non-OECD
TUR,20.776499847512017,17.927651452526334,9.08981344040103,15.931321580146461,11.686686407110987,7250,196,453.15176740183233,1.985780510800239,6.003365177107964,-1.1854430482598908,0,0,1,OECD (other)
URY,3.5444893218524385,1.241793394007118,-5.156197767146239,-0.12330501709556074,8.700687088998677,6618,222,408.7120663921702,1.988215895770956,5.636925812508203,-0.8328537154717347,0,0,0,Non-OECD
USA,3.8349719328900846,3.8349719328900846,2.40995968059849,3.3599678487928863,1.4250122522915945,4552,154,464.888043012123,1.6352099305192875,4.531323268058314,0.05616286857446633,0,0,1,OECD (other)
UZB,5.6065917106681695,5.32675818860173,4.094741708500408,5.009363869256769,1.5118500021677619,7293,202,363.93537468143256,2.2235427649990847,7.6166443439267,-0.6886793689979404,0,0,0,Non-OECD
VNM,27.72188517929976,23.458920450950018,11.014550262635453,20.73178529762841,16.70733491666431,6068,178,469.4024274813042,2.221502588308096,8.054722901714175,-1.2884180884607053,1,0,0,East Asia
