term,M2_estimate,M2_se,M3_estimate,M3_se,attenuation_pct
regionEast Asia,12.432127973276593,5.27799843116907,11.254469444179312,5.487435564604364,9.472702755543617
regionNordic,-9.465683703134639,6.7596721804904405,-8.318087142825846,6.8394920514812085,12.123757736894982
regionNon-OECD,2.0585791258207555,2.9944923154311143,1.9364036309315604,3.111186937932405,5.934942862129903
