country,construct,spec,n,country_mean_x,slope,se,t,region,hwk_mean,slope_p50
ALB,MATHEFF,raw WLE,3742,-0.2546762905339246,0.19306847505142347,0.00934830392397601,20.6527811484875,Non-OECD,2.475558729056317,20.9685537238268
ALB,MATHEFF,within-country z,3742,-0.2546762905339246,0.2676223793262513,0.012958176305753896,20.652781148487488,Non-OECD,2.475558729056317,20.9685537238268
ALB,MATHEF21,raw WLE,3635,0.4041070385479306,0.17438740209380285,0.011779543635851562,14.804257913952377,Non-OECD,2.475558729056317,20.9685537238268
ALB,MATHEF21,within-country z,3635,0.4041070385479306,0.19890884732032962,0.013435921508288947,14.804257913952378,Non-OECD,2.475558729056317,20.9685537238268
ALB,ANXMAT,raw WLE,3616,0.011893253061078055,-0.1597879854552452,0.011521763905117709,-13.868361369934942,Non-OECD,2.475558729056317,20.9685537238268
ALB,ANXMAT,within-country z,3616,0.011893253061078055,-0.18691762491968217,0.013477989211104541,-13.868361369934943,Non-OECD,2.475558729056317,20.9685537238268
ALB,MATHMOT,raw WLE,3918,0.04135774129212245,-0.08007071157230988,0.06583339364279057,-1.2162628590403595,Non-OECD,2.475558729056317,20.9685537238268
ALB,MATHMOT,within-country z,3918,0.04135774129212245,-0.015943379323115764,0.013108498055835738,-1.216262859040359,Non-OECD,2.475558729056317,20.9685537238268
ALB,CURIOAGR,raw WLE,3896,0.3873592638230062,0.11512811040658387,0.010769161400251283,10.690536256973317,Non-OECD,2.475558729056317,20.9685537238268
ALB,CURIOAGR,within-country z,3896,0.3873592638230062,0.14070930949570395,0.013162044083983221,10.690536256973331,Non-OECD,2.475558729056317,20.9685537238268
ALB,GROSAGR,raw WLE,3819,-0.36858637505745445,-0.026069164048661785,0.010416553582528278,-2.502666917817011,Non-OECD,2.475558729056317,20.9685537238268
ALB,GROSAGR,within-country z,3819,-0.36858637505745445,-0.03352512476983961,0.013395759751794094,-2.5026669178170047,Non-OECD,2.475558729056317,20.9685537238268
ALB,TEACHSUP,raw WLE,3939,0.41808703342786036,0.05954456715351633,0.010667305762782358,5.581968725529931,Non-OECD,2.475558729056317,20.9685537238268
ALB,TEACHSUP,within-country z,3939,0.41808703342786036,0.073846918836515,0.013229547220278314,5.581968725529932,Non-OECD,2.475558729056317,20.9685537238268
ALB,FAMSUP,raw WLE,3425,0.4236282483680396,0.1441540301328698,0.012008376806276049,12.004455927592915,Non-OECD,2.475558729056317,20.9685537238268
ALB,FAMSUP,within-country z,3425,0.4236282483680396,0.16803679079517236,0.013997868109035272,12.00445592759292,Non-OECD,2.475558729056317,20.9685537238268
ALB,BELONG,raw WLE,4702,0.25526607152409575,0.07282914886630998,0.011274648831656433,6.459549202261954,Non-OECD,2.475558729056317,20.9685537238268
ALB,BELONG,within-country z,4702,0.25526607152409575,0.07663704676780685,0.01186414784811462,6.459549202261968,Non-OECD,2.475558729056317,20.9685537238268
ALB,SDLEFF,raw WLE,2454,0.16765408947704694,0.06667900400829836,0.015613531855737295,4.270590704549447,Non-OECD,2.475558729056317,20.9685537238268
ALB,SDLEFF,within-country z,2454,0.16765408947704694,0.07287928781969337,0.017065388107096135,4.270590704549443,Non-OECD,2.475558729056317,20.9685537238268
ARE,MATHEFF,raw WLE,20543,-0.26333440918692513,0.28234262167004354,0.004948213918963339,57.05950193220322,Non-OECD,2.2825594957706796,6.7639054367379
ARE,MATHEFF,within-country z,20543,-0.26333440918692513,0.36201110346940635,0.006344449061254337,57.059501932203155,Non-OECD,2.2825594957706796,6.7639054367379
ARE,MATHEF21,raw WLE,20354,0.3350383594116652,0.1818312857589688,0.006141449612946827,29.6072258535915,Non-OECD,2.2825594957706796,6.7639054367379
ARE,MATHEF21,within-country z,20354,0.3350383594116652,0.19756986360354667,0.0066730285566278585,29.607225853591494,Non-OECD,2.2825594957706796,6.7639054367379
ARE,ANXMAT,raw WLE,20305,0.14088484238702023,-0.1823197267485634,0.005516638700331951,-33.04906060597964,Non-OECD,2.2825594957706796,6.7639054367379
ARE,ANXMAT,within-country z,20305,0.14088484238702023,-0.21875442779704174,0.006619081564982849,-33.04906060597979,Non-OECD,2.2825594957706796,6.7639054367379
ARE,MATHMOT,raw WLE,20684,0.03826042478509013,-0.21592087495975149,0.034726331825387514,-6.217785283094524,Non-OECD,2.2825594957706796,6.7639054367379
ARE,MATHMOT,within-country z,20684,0.03826042478509013,-0.04141887216339706,0.006661354530207144,-6.217785283094531,Non-OECD,2.2825594957706796,6.7639054367379
ARE,CURIOAGR,raw WLE,20545,0.1610260933501553,0.19013046551893342,0.005870022267310637,32.39007568638102,Non-OECD,2.2825594957706796,6.7639054367379
ARE,CURIOAGR,within-country z,20545,0.1610260933501553,0.21264774815545126,0.006565213067558938,32.39007568638095,Non-OECD,2.2825594957706796,6.7639054367379
ARE,GROSAGR,raw WLE,20931,0.18133013926617983,0.13996906994768057,0.005565659758003439,25.148693242774055,Non-OECD,2.2825594957706796,6.7639054367379
ARE,GROSAGR,within-country z,20931,0.18133013926617983,0.16416708510807645,0.006527857472485053,25.148693242773977,Non-OECD,2.2825594957706796,6.7639054367379
ARE,TEACHSUP,raw WLE,20917,0.23835792654423196,0.08717504875235255,0.005600101367362613,15.566691213914211,Non-OECD,2.2825594957706796,6.7639054367379
ARE,TEACHSUP,within-country z,20917,0.23835792654423196,0.10329444126167067,0.006635606747909305,15.566691213914368,Non-OECD,2.2825594957706796,6.7639054367379
ARE,FAMSUP,raw WLE,19850,0.14724124542784256,0.09303100913738178,0.006126357750821222,15.185369990009354,Non-OECD,2.2825594957706796,6.7639054367379
ARE,FAMSUP,within-country z,19850,0.14724124542784256,0.1042683782107373,0.006866370610616463,15.185369990009333,Non-OECD,2.2825594957706796,6.7639054367379
ARE,BELONG,raw WLE,22115,-0.19813784976966725,0.11290425953373069,0.006937642833857689,16.274152797651315,Non-OECD,2.2825594957706796,6.7639054367379
ARE,BELONG,within-country z,22115,-0.19813784976966725,0.10552979211334466,0.0064845029677104895,16.27415279765143,Non-OECD,2.2825594957706796,6.7639054367379
ARE,SDLEFF,raw WLE,16275,0.30170078849130794,0.12357334846178095,0.007228298644955543,17.095772398394168,Non-OECD,2.2825594957706796,6.7639054367379
ARE,SDLEFF,within-country z,16275,0.30170078849130794,0.129607856727719,0.0075812811323981545,17.095772398394185,Non-OECD,2.2825594957706796,6.7639054367379
ARG,MATHEFF,raw WLE,7982,-0.7288000703736826,0.1716163423898711,0.006102767671162141,28.12106762654959,Non-OECD,2.0655377541850366,2.605093497983489
ARG,MATHEFF,within-country z,7982,-0.7288000703736826,0.2012953906959966,0.007158170286036718,28.121067626549625,Non-OECD,2.0655377541850366,2.605093497983489
ARG,MATHEF21,raw WLE,7692,-0.07439544113931924,0.05417015317745284,0.007184434554630677,7.539932720597733,Non-OECD,2.0655377541850366,2.605093497983489
ARG,MATHEF21,within-country z,7692,-0.07439544113931924,0.05681026659877277,0.00753458534763544,7.539932720597743,Non-OECD,2.0655377541850366,2.605093497983489
ARG,ANXMAT,raw WLE,7800,0.5279330064200667,-0.12476268496857457,0.006654469721297259,-18.748704283570266,Non-OECD,2.0655377541850366,2.605093497983489
ARG,ANXMAT,within-country z,7800,0.5279330064200667,-0.13909206059760115,0.007418755904080771,-18.748704283570238,Non-OECD,2.0655377541850366,2.605093497983489
ARG,MATHMOT,raw WLE,8536,0.057703061366574326,-0.038958402071610214,0.0304614794724494,-1.27893991842536,Non-OECD,2.0655377541850366,2.605093497983489
ARG,MATHMOT,within-country z,8536,0.057703061366574326,-0.009084362437668067,0.007103040812779413,-1.2789399184253547,Non-OECD,2.0655377541850366,2.605093497983489
ARG,CURIOAGR,raw WLE,9753,0.00790881141725884,0.07774851368182897,0.006264526896858035,12.410915454896305,Non-OECD,2.0655377541850366,2.605093497983489
ARG,CURIOAGR,within-country z,9753,0.00790881141725884,0.08130502123614658,0.00655108976703813,12.410915454896308,Non-OECD,2.0655377541850366,2.605093497983489
ARG,GROSAGR,raw WLE,9146,0.20698808502308264,0.042895696086203736,0.0062089237129240565,6.908716883880388,Non-OECD,2.0655377541850366,2.605093497983489
ARG,GROSAGR,within-country z,9146,0.20698808502308264,0.04694913754793486,0.00679563779165387,6.908716883880407,Non-OECD,2.0655377541850366,2.605093497983489
ARG,TEACHSUP,raw WLE,9029,0.30895957829481396,0.014670378761529069,0.006140323335807286,2.389186685980977,Non-OECD,2.0655377541850366,2.605093497983489
ARG,TEACHSUP,within-country z,9029,0.30895957829481396,0.016509000895232672,0.006909883179955174,2.3891866859809587,Non-OECD,2.0655377541850366,2.605093497983489
ARG,FAMSUP,raw WLE,7171,-0.11196066121856095,0.030202143978634806,0.0068519952616669195,4.407788217192575,Non-OECD,2.0655377541850366,2.605093497983489
ARG,FAMSUP,within-country z,7171,-0.11196066121856095,0.035103909101251544,0.007964064372314625,4.40778821719257,Non-OECD,2.0655377541850366,2.605093497983489
ARG,BELONG,raw WLE,10803,-0.19487830865039146,0.07781137011573204,0.006746768326914323,11.533132063439261,Non-OECD,2.0655377541850366,2.605093497983489
ARG,BELONG,within-country z,10803,-0.19487830865039146,0.07323113240217165,0.006349630958819836,11.533132063439263,Non-OECD,2.0655377541850366,2.605093497983489
ARG,SDLEFF,raw WLE,5008,-0.06315482144042456,0.09524606098716977,0.009564598253620797,9.958187313420424,Non-OECD,2.0655377541850366,2.605093497983489
ARG,SDLEFF,within-country z,5008,-0.06315482144042456,0.09545382124104253,0.009585461513904396,9.958187313420428,Non-OECD,2.0655377541850366,2.605093497983489
AUS,MATHEFF,raw WLE,12331,-0.23825133986173366,0.4326085612774465,0.006426187903703433,67.31962522106345,OECD (other),1.719423274134379,31.46754961063516
AUS,MATHEFF,within-country z,12331,-0.23825133986173366,0.49958711755885077,0.007421121491961847,67.31962522106345,OECD (other),1.719423274134379,31.46754961063516
AUS,MATHEF21,raw WLE,12225,0.2376599487811349,0.3257051229795446,0.008668845078143597,37.57191644833192,OECD (other),1.719423274134379,31.46754961063516
AUS,MATHEF21,within-country z,12225,0.2376599487811349,0.30409161506287574,0.008093588078773018,37.571916448332,OECD (other),1.719423274134379,31.46754961063516
AUS,ANXMAT,raw WLE,12225,0.17357100882305052,-0.20220237909002922,0.00784122808234304,-25.78708041223168,OECD (other),1.719423274134379,31.46754961063516
AUS,ANXMAT,within-country z,12225,0.17357100882305052,-0.2128327734484103,0.008253465303014938,-25.78708041223168,OECD (other),1.719423274134379,31.46754961063516
AUS,MATHMOT,raw WLE,12433,0.04810952743011733,0.0916328185155811,0.03834621157068599,2.389618550627056,OECD (other),1.719423274134379,31.46754961063516
AUS,MATHMOT,within-country z,12433,0.04810952743011733,0.01960920923719481,0.008205999753412237,2.3896185506270418,OECD (other),1.719423274134379,31.46754961063516
AUS,CURIOAGR,raw WLE,12548,-0.017421017521411963,0.24940237723717482,0.00849056489830827,29.374061705466474,OECD (other),1.719423274134379,31.46754961063516
AUS,CURIOAGR,within-country z,12548,-0.017421017521411963,0.23484722472905273,0.007995054517276624,29.374061705466563,OECD (other),1.719423274134379,31.46754961063516
AUS,GROSAGR,raw WLE,12534,0.2225303245987661,0.20825874450833046,0.00851342227914197,24.462400393149526,OECD (other),1.719423274134379,31.46754961063516
AUS,GROSAGR,within-country z,12534,0.2225303245987661,0.1957953332639999,0.008003929709156067,24.462400393149444,OECD (other),1.719423274134379,31.46754961063516
AUS,TEACHSUP,raw WLE,12458,0.1307671317438776,0.15540283475942915,0.00743779548474125,20.893668705766434,OECD (other),1.719423274134379,31.46754961063516
AUS,TEACHSUP,within-country z,12458,0.1307671317438776,0.16799920490361617,0.00804067525284587,20.89366870576641,OECD (other),1.719423274134379,31.46754961063516
AUS,FAMSUP,raw WLE,11959,-0.021223615508498977,-0.01897558366856943,0.009239946300416333,-2.053646531226532,OECD (other),1.719423274134379,31.46754961063516
AUS,FAMSUP,within-country z,11959,-0.021223615508498977,-0.017331836755670033,0.0084395422932488,-2.053646531226535,OECD (other),1.719423274134379,31.46754961063516
AUS,BELONG,raw WLE,12779,-0.22456870441184026,0.039823874992144626,0.009763843116600664,4.0787090202663485,OECD (other),1.719423274134379,31.46754961063516
AUS,BELONG,within-country z,12779,-0.22456870441184026,0.033777503519499014,0.008281420261083788,4.0787090202663565,OECD (other),1.719423274134379,31.46754961063516
AUS,SDLEFF,raw WLE,10165,0.017359310183688095,0.14976326060876113,0.009214597625671393,16.25282694835512,OECD (other),1.719423274134379,31.46754961063516
