model,n,df_used,r2,adj_r2,aic,bic,rmse
M0,60,1,0,0,451.85217113052545,456.04086025496963,10.106339425950587
M1,60,2,0.21358681101193777,0.20002796292593672,439.4357947940159,445.7188284806822,8.9622958140477
M2,60,5,0.30768799373623995,0.25733802964433017,437.789058198034,450.3551255713666,8.409008893319797
M3,60,8,0.3437427639057407,0.25540044366228265,440.5800248080606,459.4291258680595,8.187115790663874
M4,60,5,0.2723509107240624,0.21943097695853975,440.7759890973311,453.3420564706637,8.620945015827864
M5,60,4,0.2659797956082582,0.2266572846587005,439.2990476708935,449.770770482004,8.658604191036067
M6,60,4,0.10811704308231398,0.06033759896172364,450.986948976767,461.4586717878775,9.544381991668388
