country,slope_p25,slope_p50,slope_p75,slope_mid,concavity,n_stud,n_school,pv_math_mean,hwk_mean,study_mean,escs_mean,east_asia,nordic,oecd,region,n_schools,schsize_mean,stratio_mean,private_share,abgmath_mean,stubeha_mean,mactiv_mean,edushort_mean,clsize_mean,escs_btw_var,exam_pressure_z,stratification_z,resource_z,pc1_org,pc2_org
GEO,21.075678202187305,16.98206374490985,5.202858460298955,14.420200135798703,15.87281974188835,6583,267,390.02422032168255,2.1750121523352903,6.788893139098487,-0.46609404448686065,0,0,0,Non-OECD,267,825.0566243651668,13.759759439511148,0.09172142742611554,2.18854859192728,-1.239272516666538,2.2676495028459436,0.12729867371016987,23.619878227283763,0.21593895564405668,2.1703444084113515,-1.001216971930881,0.014436868876253534,1.1357248567791038,0.30032295113109536
GRC,24.756620755776396,15.82287255609333,-8.481264309443077,10.69940966747555,33.23788506521947,6403,230,430.14632185328054,2.0976177773775357,5.843393578123667,-0.154869593520961,0,0,1,OECD (other),230,274.48870358724724,8.702237777949929,0.05725577208795755,1.5820917455287895,-0.04779018298224143,1.2432886255275306,0.6437595548032213,23.660577822002523,0.2193768221955505,-4.030578933490178,-1.1666659062554046,0.006831473382596931,-0.2756939516130108,-1.9590879784173114
GTM,19.163483032077806,14.1025621320112,0.01254383811942716,11.092863000736145,19.15093919395838,5190,290,344.19948813728763,2.4304444134531966,7.468924426280401,-1.5128962163908557,0,0,0,Non-OECD,290,279.82732166730517,22.54602585576538,0.4911878202968226,2.2503869299651065,0.05620459380127619,1.24965681821771,0.04418748992905555,26.63008309071514,0.7886267656342595,-1.737833046998747,4.720153680443766,-1.4851191231568712,-2.746855408169133,2.588334363414555
HKG,21.09493990197609,13.009548855442176,-9.502062026707108,8.200808910237052,30.5970019286832,5907,163,540.3518012286893,2.168914664953165,6.188007415487234,-0.4618579371911637,1,0,0,East Asia,163,714.5018399549145,11.304241561152574,0.9109287550611336,2.23105567553999,-0.970902772047372,4.427656082528413,-0.0143718194829589,26.724476371797483,0.2897957230727047,4.1840218889523815,3.8973845496782347,0.7399285528039286,2.4030306468658114,3.279963942202475
HRV,17.370721103543872,11.38963578630387,11.38963578630387,13.383330892050536,5.981085317240002,6135,180,463.10518936749145,1.849605300005941,6.068497240941826,-0.1519635999117231,0,0,0,Non-OECD,180,494.2828406130741,9.213054910080702,0.03041260164651268,2.359804445015675,0.4501156004969118,2.9672837252447666,0.23824397581246037,21.52999510613203,0.16474010507304176,-0.26582136003089474,-1.651439642519691,0.6641866675058739,0.3882262347215663,-1.4290309584352652
HUN,0.6740516506251879,0.6740516506251879,-6.418931009260973,-1.690275902670199,7.092982659886161,6198,262,472.77612237193995,1.6666886211272955,5.533881017291251,0.00297822717063948,0,0,1,OECD (other),262,557.094667394305,11.24576262479422,0.2703059804442245,2.0244982773592923,-0.7122612588545127,3.261569230991696,0.30864330889659464,26.47993893781999,0.4199055838097333,1.4758319424551916,1.233291861412498,0.15072144582175406,0.6443917665834773,0.4533269712008065
IDN,7.946067837824785,8.900114163131093,10.775510625350876,9.207230875435584,-2.829442787526091,13439,410,365.5252538715769,2.1220405476236546,5.964119144805673,-1.555847023396357,0,0,0,Non-OECD,410,633.4384145238438,18.136378203903075,0.3731699983118662,2.08067700832923,-0.5403536672765465,2.422459912102113,0.413793510781081,32.219372481819676,0.3758975024852684,0.33339264439234273,1.5175108408000142,-1.3418043561240134,-0.4129893204159184,1.1068209382930956
IRL,8.098287498284321,8.098287498284321,2.5165610097461126,6.237712002104918,5.581726488538209,5569,170,491.6482795918827,1.4825915953918989,4.045410662712019,0.3329791371384958,0,0,1,OECD (other),170,696.7218583010792,12.412020914792723,0.11807776878513972,2.5851256155486015,-0.399617754950254,2.561470761871364,-0.6596795124926289,24.652542566003536,0.12674384384324275,2.074430344847852,-1.412262941020323,1.7304807220646485,1.5606038457321152,0.3814349550935776
ISL,-7.097620606972498,-7.097620606972498,-6.140943653912018,-6.778728289285671,-0.9566769530604802,3360,134,458.91401434518576,1.549673632365154,3.547236819458316,0.3781051237992792,0,1,1,Nordic,134,448.8261666259434,10.837664310941062,0.1457001257940326,2.503694298533167,-0.10641349799826602,2.155005831124265,-0.5170543713694722,20.346211157519235,0.08846434455153289,0.6280894347669342,-1.500266501805395,1.7618278623858252,1.3199940231094796,-0.01354928569406838
ISR,9.829397318063002,8.100450886453075,2.9635834668434313,6.964477223786503,6.8658138512195706,6251,193,457.8966665933152,2.084157217899844,4.589351469380938,0.27995699607366575,0,0,1,OECD (other),193,781.1576767694421,10.860078614264498,0.11807776878513972,2.4521941501857887,0.11128081512902588,2.8147554954284875,0.22506269309662624,30.153188656646943,0.2708919502127992,0.6875908633730016,-0.5171177118537074,0.37863201980451705,0.20850813181561106,-0.39506806405870454
