country,trim_pct,n,slope,se,t,region,hwk_mean,slope_p50
HKG,15,4658,-1.8317392415330533,1.2659062851761393,-1.4469785504526376,East Asia,2.168914664953165,13.009548855442176
HKG,20,4384,-2.3460726203916735,1.3092393140989884,-1.791935664570406,East Asia,2.168914664953165,13.009548855442176
HKG,25,4110,-3.015687007811,1.3427944427912888,-2.245829228740508,East Asia,2.168914664953165,13.009548855442176
HKG,30,3836,-4.106102091802148,1.392099817122674,-2.9495744782791764,East Asia,2.168914664953165,13.009548855442176
HRV,0,5816,3.38079880334047,0.9521870715756641,3.5505615485263604,Non-OECD,1.849605300005941,11.38963578630387
HRV,5,5526,3.82155736491223,0.9839359045997617,3.8839495002133657,Non-OECD,1.849605300005941,11.38963578630387
HRV,10,5234,4.132319014528662,1.0187875933397241,4.056114386888398,Non-OECD,1.849605300005941,11.38963578630387
HRV,15,4943,4.30322452963923,1.0469563903015904,4.11022328102857,Non-OECD,1.849605300005941,11.38963578630387
HRV,20,4653,4.184731175905943,1.0844342771642645,3.8589071408262594,Non-OECD,1.849605300005941,11.38963578630387
HRV,25,4362,4.451355697235832,1.1099279499556143,4.0104906786191306,Non-OECD,1.849605300005941,11.38963578630387
HRV,30,4071,4.390773673058295,1.1468715725957097,3.8284789491474402,Non-OECD,1.849605300005941,11.38963578630387
HUN,0,5796,-10.52006426280764,1.1086453143342188,-9.489116245555339,OECD (other),1.6666886211272955,0.6740516506251879
HUN,5,5506,-10.78807689669817,1.1595568658814324,-9.303620386480707,OECD (other),1.6666886211272955,0.6740516506251879
HUN,10,5216,-11.332614536462627,1.1967548349901853,-9.469453730308569,OECD (other),1.6666886211272955,0.6740516506251879
HUN,15,4926,-11.879257078642675,1.2332766910841275,-9.632272436933892,OECD (other),1.6666886211272955,0.6740516506251879
HUN,20,4637,-11.69501786296824,1.2729904683462367,-9.18704275779962,OECD (other),1.6666886211272955,0.6740516506251879
HUN,25,4348,-12.075413049959199,1.320344865708193,-9.145650779262365,OECD (other),1.6666886211272955,0.6740516506251879
HUN,30,4057,-12.349507762351223,1.3629893279718464,-9.060604884359236,OECD (other),1.6666886211272955,0.6740516506251879
IDN,0,12785,3.12874936165824,0.3536249754688956,8.847648154685954,Non-OECD,2.1220405476236546,8.900114163131093
